dt,AverageTemperature,MaxTemperature,MinTemperature
1982-01-01,25.78,29.78,21.78
1982-01-02,26.44,30.44,22.44
1982-01-03,25.99,29.99,21.99
1982-01-04,25.76,29.76,21.76
1982-01-05,25.27,29.27,21.27
1982-01-06,26.16,30.16,22.16
1982-01-07,25.33,29.33,21.33
1982-01-08,27.15,31.15,23.15
1982-01-09,27.43,31.43,23.43
1982-01-10,25.11,29.11,21.11
1982-01-11,26.75,30.75,22.75
1982-01-12,25.7,29.7,21.7
1982-01-13,25.85,29.85,21.85
1982-01-14,27.28,31.28,23.28
1982-01-15,23.86,27.86,19.86
1982-01-16,23.93,27.93,19.93
1982-01-17,23.66,27.66,19.66
1982-01-18,26.91,30.91,22.91
1982-01-19,26.69,30.69,22.69
1982-01-20,27.06,31.06,23.06
1982-01-21,27.49,31.49,23.49
1982-01-22,26.78,30.78,22.78
1982-01-23,25.43,29.43,21.43
1982-01-24,26.7,30.7,22.7
1982-01-25,24.05,28.05,20.05
1982-01-26,26.14,30.14,22.14
1982-01-27,24.15,28.15,20.15
1982-01-28,27.36,31.36,23.36
1982-01-29,25.67,29.67,21.67
1982-01-30,25.24,29.24,21.24
1982-01-31,24.64,28.64,20.64
1982-02-01,27.49,31.49,23.49
1982-02-02,26.21,30.21,22.21
1982-02-03,26.66,30.66,22.66
1982-02-04,24.47,28.47,20.47
1982-02-05,26.86,30.86,22.86
1982-02-06,26.84,30.84,22.84
1982-02-07,26.86,30.86,22.86
1982-02-08,28.16,32.16,24.16
1982-02-09,27.12,31.12,23.12
1982-02-10,25.83,29.83,21.83
1982-02-11,26.14,30.14,22.14
1982-02-12,27.18,31.18,23.18
1982-02-13,24.63,28.63,20.63
1982-02-14,27.06,31.06,23.06
1982-02-15,27.07,31.07,23.07
1982-02-16,25.23,29.23,21.23
1982-02-17,24.91,28.91,20.91
1982-02-18,25.65,29.65,21.65
1982-02-19,25.84,29.84,21.84
1982-02-20,26.67,30.67,22.67
1982-02-21,26.14,30.14,22.14
1982-02-22,28.34,32.34,24.34
1982-02-23,24.8,28.8,20.8
1982-02-24,25.23,29.23,21.23
1982-02-25,25.04,29.04,21.04
1982-02-26,27.0,31.0,23.0
1982-02-27,25.4,29.4,21.4
1982-02-28,26.26,30.26,22.26
1982-03-01,25.86,29.86,21.86
1982-03-02,25.52,29.52,21.52
1982-03-03,25.32,29.32,21.32
1982-03-04,27.51,31.51,23.51
1982-03-05,25.43,29.43,21.43
1982-03-06,25.67,29.67,21.67
1982-03-07,26.35,30.35,22.35
1982-03-08,28.16,32.16,24.16
1982-03-09,25.27,29.27,21.27
1982-03-10,28.23,32.230000000000004,24.23
1982-03-11,25.26,29.26,21.26
1982-03-12,28.79,32.79,24.79
1982-03-13,26.75,30.75,22.75
1982-03-14,28.79,32.79,24.79
1982-03-15,27.3,31.3,23.3
1982-03-16,27.84,31.84,23.84
1982-03-17,25.04,29.04,21.04
1982-03-18,26.01,30.01,22.01
1982-03-19,25.36,29.36,21.36
1982-03-20,26.06,30.06,22.06
1982-03-21,25.35,29.35,21.35
